build,video,arm,sabrPhase,firstFrameMs,appUidRxBytes,bufferedPositionMs,mbPerMin,processCpuMs,rebuffers,dropped,videoItag,audioItag,height
before-fix,6tCjflXY9CM,dash,dash-cellular-0,656,6838255,58725,6.986722860791827,6828,0,0,136,140,720
before-fix,6tCjflXY9CM,dash,dash-cellular-1,330,6812891,58725,6.960808173690932,5385,0,0,136,140,720
before-fix,6tCjflXY9CM,dash,dash-cellular-2,309,6812975,58725,6.960893997445721,5118,0,0,136,140,720
before-fix,6tCjflXY9CM,sabr,sabr-cellular-0,537,5352530,32031,10.026280790484217,6528,0,0,136,140,720
before-fix,6tCjflXY9CM,sabr,sabr-cellular-1,389,5515988,32031,10.332467921700852,5811,0,0,136,140,720
before-fix,6tCjflXY9CM,sabr,sabr-cellular-2,288,5342671,32031,10.0078130561019,5236,0,0,136,140,720
before-fix,bdneye4pzMw,dash,dash-cellular-0,465,5044256,60727,4.983868131144301,6641,0,0,136,140,720
before-fix,bdneye4pzMw,dash,dash-cellular-1,304,5028195,60727,4.967999407182966,5679,0,0,136,140,720
before-fix,bdneye4pzMw,dash,dash-cellular-2,308,5028111,60727,4.96791641279826,5097,0,0,136,140,720
before-fix,bdneye4pzMw,sabr,sabr-cellular-0,461,4030810,31489,7.68041538314967,5894,0,0,136,140,720
before-fix,bdneye4pzMw,sabr,sabr-cellular-1,181,4025194,31489,7.669714503477404,5371,0,0,136,140,720
before-fix,bdneye4pzMw,sabr,sabr-cellular-2,201,4193506,31489,7.9904207818603314,4858,0,0,136,140,720
before-fix,fOAIrUZbOwo,dash,dash-cellular-0,540,3315667,58725,3.3876546615581096,6578,0,0,136,140,720
before-fix,fOAIrUZbOwo,dash,dash-cellular-1,324,3304362,58725,3.376104214559387,5506,0,0,136,140,720
before-fix,fOAIrUZbOwo,dash,dash-cellular-2,324,3304194,58725,3.375932567049808,5090,0,0,136,140,720
before-fix,fOAIrUZbOwo,sabr,sabr-cellular-0,592,4171292,32031,7.813603072023977,6509,0,0,136,140,720
before-fix,fOAIrUZbOwo,sabr,sabr-cellular-1,398,4155505,32031,7.784031094876837,5784,0,0,136,140,720
before-fix,fOAIrUZbOwo,sabr,sabr-cellular-2,272,4155649,32031,7.784300833567482,5127,0,0,136,140,720
before-fix,ouuPSxE1hK4,dash,dash-cellular-0,609,6417520,58725,6.55685312899106,6806,0,0,136,140,720
before-fix,ouuPSxE1hK4,dash,dash-cellular-1,315,6407403,58725,6.546516475095785,5592,0,0,136,140,720
before-fix,ouuPSxE1hK4,dash,dash-cellular-2,343,6407487,58725,6.5466022988505745,5110,0,0,136,140,720
before-fix,ouuPSxE1hK4,sabr,sabr-cellular-0,693,5434406,32031,10.179649714339233,6600,0,0,136,140,720
before-fix,ouuPSxE1hK4,sabr,sabr-cellular-1,399,5764278,32031,10.797561112672097,5654,0,0,136,140,720
before-fix,ouuPSxE1hK4,sabr,sabr-cellular-2,296,5254472,32031,9.842599981268146,5300,0,0,136,140,720
after-fix,6tCjflXY9CM,dash,dash-cellular-0,856,6823308,58725,6.971451340996168,6699,0,0,136,140,720
