profile,source,iteration,comparisonPhase,direction,sharedDownlinkKbps,requestLatencyMs,firstFrameMs,readyMs,wallTo8sMs,positionMs,bufferedPositionMs,frames,dropped,errors,rebuffers,rebufferMs,processCpuMs,responseBytes,requestBodyBytes,requests,interruptionPositionMs,interruptionBufferMs,targetMs,fromPositionMs,bufferedBeforeMs,seekFirstFrameMs,seekReadyMs,seekRequests,seekResponseBytes,remainedPaused,resumedAndAdvanced,syntheticLinkOnly
fast,dash,0,steady,,20000,20,195,289,8441,8006,58041,186,0,0,0,0,6915,15408204,0,60,-1,-1,,,,,,,,,,true
fast,dash,0,seek,backward,20000,20,,,,,,,,,,,,15612427,0,62,,,2000,8006,58041,92,109,0,204223,true,true,true
fast,dash,0,seek,forward,20000,20,,,,,,,,,,,,15939397,0,62,,,52000,3014,60022,81,96,0,0,true,true,true
fast,sabr,1,steady,,20000,20,357,437,8597,8021,57250,187,0,0,0,0,6865,15236561,30215,61,-1,-1,,,,,,,,,,true
fast,sabr,1,seek,backward,20000,20,,,,,,,,,,,,15541634,30777,67,,,2000,8021,57250,156,223,6,288689,true,true,true
fast,sabr,1,seek,forward,20000,20,,,,,,,,,,,,18197227,33701,84,,,52000,3010,11375,155,197,6,280151,true,true,true
fast,sabr,2,steady,,20000,20,242,329,8530,8005,58041,190,0,0,0,0,6416,15435240,31321,62,-1,-1,,,,,,,,,,true
fast,sabr,2,seek,backward,20000,20,,,,,,,,,,,,15740313,31883,68,,,2000,8033,58041,157,218,6,313265,true,true,true
fast,sabr,2,seek,forward,20000,20,,,,,,,,,,,,18453250,34807,85,,,52000,3003,11666,148,193,6,271959,true,true,true
fast,dash,3,steady,,20000,20,190,289,8432,8005,58041,192,0,0,0,0,5805,15408204,0,60,-1,-1,,,,,,,,,,true
fast,dash,3,seek,backward,20000,20,,,,,,,,,,,,15612427,0,62,,,2000,8005,58041,91,101,0,204223,true,true,true
fast,dash,3,seek,forward,20000,20,,,,,,,,,,,,15939397,0,62,,,52000,3016,60022,120,134,0,0,true,true,true
fast,dash,4,steady,,20000,20,266,366,8500,8006,58041,185,0,0,0,0,5635,15408204,0,60,-1,-1,,,,,,,,,,true
fast,dash,4,seek,backward,20000,20,,,,,,,,,,,,15620619,0,62,,,2000,8006,58041,99,115,2,212415,true,true,true
fast,dash,4,seek,forward,20000,20,,,,,,,,,,,,15939397,0,62,,,52000,3018,60022,96,108,0,0,true,true,true
fast,sabr,5,steady,,20000,20,252,332,8503,8005,58041,192,0,0,0,0,5825,15435240,30463,61,-1,-1,,,,,,,,,,true
fast,sabr,5,seek,backward,20000,20,,,,,,,,,,,,15748505,31947,68,,,2000,8005,58041,158,225,7,313265,true,true,true
fast,sabr,5,seek,forward,20000,20,,,,,,,,,,,,18551554,34871,85,,,52000,3011,11708,180,232,6,362071,true,true,true
fast,sabr,6,steady,,20000,20,207,287,8451,8009,58041,192,0,0,0,0,5629,15435240,31321,62,-1,-1,,,,,,,,,,true
fast,sabr,6,seek,backward,20000,20,,,,,,,,,,,,15756697,31883,68,,,2000,8032,58041,146,214,6,321457,true,true,true
fast,sabr,6,seek,forward,20000,20,,,,,,,,,,,,18515818,35270,86,,,52000,3001,12041,180,199,5,263767,true,true,true
fast,dash,7,steady,,20000,20,225,300,8497,8003,58041,186,0,0,0,0,5243,15408204,0,62,-1,-1,,,,,,,,,,true
fast,dash,7,seek,backward,20000,20,,,,,,,,,,,,15596043,0,62,,,2000,8025,58041,83,92,0,187839,true,true,true
fast,dash,7,seek,forward,20000,20,,,,,,,,,,,,15939397,0,62,,,52000,3020,60022,107,125,0,0,true,true,true
moderate,dash,0,steady,,4000,80,432,601,8742,8008,14037,190,0,0,0,0,5746,3822730,0,18,-1,-1,,,,,,,,,,true
moderate,dash,0,seek,backward,4000,80,,,,,,,,,,,,3855498,0,18,,,2000,8018,14037,90,112,0,32768,true,true,true
moderate,dash,0,seek,forward,4000,80,,,,,,,,,,,,4566956,0,23,,,52000,3015,16041,300,475,3,188248,true,true,true
moderate,sabr,1,steady,,4000,80,580,816,8966,8007,13916,193,0,0,0,0,5409,3891946,3448,20,-1,-1,,,,,,,,,,true
moderate,sabr,1,seek,backward,4000,80,,,,,,,,,,,,4074139,4010,26,,,2000,8017,13916,408,559,6,182193,true,true,true
moderate,sabr,1,seek,forward,4000,80,,,,,,,,,,,,4785320,5482,37,,,52000,3016,4041,424,592,6,198231,true,true,true
moderate,sabr,2,steady,,4000,80,485,711,8867,8004,13750,190,0,0,0,0,5110,3859178,3449,20,-1,-1,,,,,,,,,,true
moderate,sabr,2,seek,backward,4000,80,,,,,,,,,,,,4049563,4011,26,,,2000,8014,13750,429,569,6,190385,true,true,true
moderate,sabr,2,seek,forward,4000,80,,,,,,,,,,,,4768936,5483,37,,,52000,3003,4041,425,591,6,190039,true,true,true
moderate,dash,3,steady,,4000,80,407,591,8792,8007,14041,187,0,0,0,0,5025,3847306,0,18,-1,-1,,,,,,,,,,true
moderate,dash,3,seek,backward,4000,80,,,,,,,,,,,,3912894,0,18,,,2000,8017,14041,108,128,0,57396,true,true,true
moderate,dash,3,seek,forward,4000,80,,,,,,,,,,,,4616031,0,23,,,52000,3006,16083,300,478,3,180056,true,true,true
moderate,dash,4,steady,,4000,80,421,610,8795,8017,14037,187,0,0,0,0,4937,3839114,0,18,-1,-1,,,,,,,,,,true
moderate,dash,4,seek,backward,4000,80,,,,,,,,,,,,3896510,0,18,,,2000,8027,14041,91,108,0,57396,true,true,true
moderate,dash,4,seek,forward,4000,80,,,,,,,,,,,,4599647,0,23,,,52000,3004,16041,283,460,3,171864,true,true,true
moderate,sabr,5,steady,,4000,80,400,674,8854,8018,13916,186,0,0,0,0,4907,3883754,3449,20,-1,-1,,,,,,,,,,true
moderate,sabr,5,seek,backward,4000,80,,,,,,,,,,,,4065947,4011,26,,,2000,8028,13916,405,556,6,182193,true,true,true
moderate,sabr,5,seek,forward,4000,80,,,,,,,,,,,,4768936,5483,37,,,52000,3009,4041,410,579,6,181847,true,true,true
moderate,sabr,6,steady,,4000,80,561,814,9005,8029,13916,186,0,0,0,0,4900,3900138,3449,20,-1,-1,,,,,,,,,,true
moderate,sabr,6,seek,backward,4000,80,,,,,,,,,,,,4074139,4011,26,,,2000,8029,13916,421,563,6,174001,true,true,true
moderate,sabr,6,seek,forward,4000,80,,,,,,,,,,,,4777128,5483,37,,,52000,3010,4041,428,576,6,181847,true,true,true
moderate,dash,7,steady,,4000,80,411,599,8763,8020,14041,193,0,0,0,0,4699,3839114,0,18,-1,-1,,,,,,,,,,true
moderate,dash,7,seek,backward,4000,80,,,,,,,,,,,,3912894,0,18,,,2000,8020,14041,93,119,0,73780,true,true,true
moderate,dash,7,seek,forward,4000,80,,,,,,,,,,,,4624223,0,23,,,52000,3000,16166,301,482,3,188248,true,true,true
constrained,dash,0,steady,,1500,160,929,1409,13790,8007,8375,188,2,0,2,4349,6946,2353551,0,12,-1,-1,,,,,,,,,,true
constrained,dash,0,seek,backward,1500,160,,,,,,,,,,,,2378127,0,12,,,2000,8007,8375,106,120,0,24576,true,true,true
constrained,dash,0,seek,forward,1500,160,,,,,,,,,,,,2771175,0,15,,,52000,3016,9375,607,1116,3,171864,true,true,true
constrained,sabr,1,steady,,1500,160,1114,1835,15948,8059,9541,187,2,0,3,6110,6669,2706544,2351,16,-1,-1,,,,,,,,,,true
constrained,sabr,1,seek,backward,1500,160,,,,,,,,,,,,2880545,2913,22,,,2000,8059,9541,864,1277,6,174001,true,true,true
constrained,sabr,1,seek,forward,1500,160,,,,,,,,,,,,3616302,4385,33,,,52000,3019,4041,809,1317,6,173655,true,true,true
constrained,sabr,2,steady,,1500,160,984,1677,15586,8011,9291,187,1,0,3,5989,6160,2673776,2351,16,-1,-1,,,,,,,,,,true
constrained,sabr,2,seek,backward,1500,160,,,,,,,,,,,,2847777,2913,22,,,2000,8011,9291,868,1279,6,174001,true,true,true
constrained,sabr,2,seek,forward,1500,160,,,,,,,,,,,,3591726,4385,33,,,52000,3024,4041,799,1304,6,173655,true,true,true
constrained,dash,3,steady,,1500,160,905,1392,13737,8011,8375,191,1,0,2,4294,5820,2345359,0,12,-1,-1,,,,,,,,,,true
constrained,dash,3,seek,backward,1500,160,,,,,,,,,,,,2369935,0,12,,,2000,8022,8375,89,107,0,24576,true,true,true
